timestamp_ms,loop_count,position_deg,velocity_deg_s,effect_available,report_id,effect_type_enum,effect_type_raw,magnitude,direction_deg,duration_ms,spring_coeff,damper_coeff,friction_coeff,inertia_coeff,center_pos,dead_band,attack_level,attack_time_ms,fade_level,fade_time_ms,torque_output,emergency_stop,ethercat_status
326767800,0,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326767910,1,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768020,2,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768130,3,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768240,4,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768350,5,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768460,6,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768570,7,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768680,8,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768790,9,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326768900,10,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769010,11,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769120,12,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769230,13,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769340,14,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769450,15,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769560,16,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769670,17,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769780,18,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
326769814,19,0.000,0.000,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.000,0,1
